City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,luwuk,-0.9516,122.7875,85.62,61,100,1.45,ID,1706406378
1,gadzhiyevo,69.2551,33.3362,33.26,80,92,36.48,RU,1706406846
2,thisted,56.9552,8.6949,41.2,92,97,16.02,DK,1706406846
3,santiago de cao,-7.9589,-79.2392,75.33,88,40,9.22,PE,1706406349
4,adamstown,-25.066,-130.1015,76.64,71,100,10.49,PN,1706406757
5,sao joao da barra,-21.6403,-41.0511,74.5,91,100,5.99,BR,1706406398
6,hermanus,-34.4187,19.2345,66.79,74,100,9.6,ZA,1706406776
7,ushuaia,-54.8,-68.3,51.46,54,0,4.61,AR,1706406701
8,alcantara,-2.4089,-44.4147,82.6,86,98,8.43,BR,1706406847
9,daloa,6.8774,-6.4502,70.43,27,5,2.15,CI,1706406847
10,rio grande,-32.035,-52.0986,70.48,81,100,13.29,BR,1706406796
11,howard springs,-12.497,131.047,82.81,96,100,7.76,AU,1706406392
12,isafjordur,66.0755,-23.124,27.43,89,100,8.39,IS,1706406759
13,ribeira grande,38.5167,-28.7,56.77,75,100,15.01,PT,1706406788
14,bredasdorp,-34.5322,20.0403,68.72,76,100,1.39,ZA,1706406766
15,keflavik,64.0049,-22.5624,31.91,100,75,9.22,IS,1706406761
16,port-aux-francais,-49.35,70.2167,46.17,90,95,29.53,TF,1706406757
17,minas de marcona,-15.2119,-75.1103,67.39,77,31,8.55,PE,1706406808
18,port mathurin,-19.6833,63.4167,82.2,82,71,18.41,MU,1706406763
19,igarka,67.4667,86.5833,9.01,94,100,15.86,RU,1706406848
20,arambol,15.6868,73.7045,75.09,59,25,4.32,IN,1706406848
21,grytviken,-54.2811,-36.5092,42.96,94,100,4.92,GS,1706406764
22,vila franca do campo,37.7167,-25.4333,59.41,85,45,10.67,PT,1706406773
23,aldinga beach,-35.2793,138.4604,78.76,58,0,7.54,AU,1706406848
24,chazuta,-6.5742,-76.1367,83.25,76,100,0.63,PE,1706406848
25,beypazari,40.1675,31.9211,33.67,77,100,2.08,TR,1706406849
26,tarancon,40.0085,-3.0073,47.43,62,100,6.24,ES,1706406849
27,grand falls-windsor,48.9332,-55.6649,17.2,95,40,5.61,CA,1706406849
28,yuzhno-kurilsk,44.0306,145.8556,33.57,89,100,9.78,RU,1706406801
29,challapalle,16.1167,80.9333,71.74,87,92,5.5,IN,1706406849
30,namibe,-15.1961,12.1522,73.71,83,28,3.4,AO,1706406784
31,necochea,-38.5473,-58.7368,76.6,32,99,17.34,AR,1706406849
32,waitangi,-43.9535,-176.5597,66.81,97,100,15.23,NZ,1706406758
